#{"t_start": 1781346934.2873836, "env_id": "None"}
r,l,t
3354.0,1000,2.799139
1138.0,1000,3.72192
4051.0,1000,4.359174
3822.0,1000,5.005082
1262.0,1000,5.630295
1479.0,1000,6.288101
2217.0,1000,6.932446
3970.0,1000,7.562071
4254.0,1000,8.226903
4176.0,1000,8.85997
