Episode,Throughput,Latency,Fairness
1,22000.0,17000.0,0.06666666666666667
2,15000.0,64000.0,0.06666666666666667
3,13000.0,77000.0,0.06666666666666667
4,11000.0,70000.0,0.06666666666666667
5,12000.0,68000.0,0.06666666666666667
6,23000.0,48000.0,0.06666666666666667
7,17000.0,47000.0,0.06666666666666667
8,11000.0,9000.0,0.06666666666666667
9,26000.0,63000.0,0.06666666666666667
10,27000.0,58000.0,0.06666666666666667
11,14000.0,4000.0,0.06666666666666667
12,22000.0,42000.0,0.06666666666666667
13,6000.0,69000.0,0.06666666666666667
14,5000.0,92000.0,0.06666666666666667
15,8000.0,80000.0,0.06666666666666667
16,22000.0,68000.0,0.06666666666666667
17,7000.0,34000.0,0.06666666666666667
18,17000.0,72000.0,0.06666666666666667
19,14000.0,63000.0,0.06666666666666667
20,14000.0,49000.0,0.06666666666666667
21,16000.0,50000.0,0.06666666666666667
22,17000.0,71000.0,0.06666666666666667
23,23000.0,69000.0,0.06666666666666667
24,15000.0,83000.0,0.06666666666666667
25,23000.0,41000.0,0.06666666666666667
26,8000.0,78000.0,0.06666666666666667
27,13000.0,15000.0,0.06666666666666667
28,8000.0,63000.0,0.06666666666666667
29,26000.0,59000.0,0.06666666666666667
30,9000.0,45000.0,0.06666666666666667
31,22000.0,8000.0,0.06666666666666667
32,11000.0,79000.0,0.06666666666666667
33,28000.0,21000.0,0.06666666666666667
34,17000.0,63000.0,0.06666666666666667
35,27000.0,27000.0,0.06666666666666667
36,28000.0,37000.0,0.06666666666666667
37,29000.0,33000.0,0.06666666666666667
38,15000.0,34000.0,0.06666666666666667
39,9000.0,81000.0,0.06666666666666667
40,20000.0,0.0,0.06666666666666667
41,28000.0,71000.0,0.06666666666666667
42,6000.0,2000.0,0.06666666666666667
43,15000.0,72000.0,0.06666666666666667
44,10000.0,52000.0,0.06666666666666667
45,8000.0,71000.0,0.06666666666666667
46,30000.0,65000.0,0.06666666666666667
47,24000.0,60000.0,0.06666666666666667
48,24000.0,68000.0,0.06666666666666667
49,20000.0,19000.0,0.06666666666666667
50,8000.0,23000.0,0.06666666666666667
51,13000.0,75000.0,0.06666666666666667
52,25000.0,39000.0,0.06666666666666667
53,20000.0,23000.0,0.06666666666666667
54,11000.0,45000.0,0.06666666666666667
55,27000.0,35000.0,0.06666666666666667
56,11000.0,53000.0,0.06666666666666667
57,17000.0,75000.0,0.06666666666666667
58,19000.0,33000.0,0.06666666666666667
59,28000.0,43000.0,0.06666666666666667
60,16000.0,16000.0,0.06666666666666667
61,6000.0,76000.0,0.06666666666666667
62,14000.0,45000.0,0.06666666666666667
63,6000.0,8000.0,0.06666666666666667
64,6000.0,70000.0,0.06666666666666667
65,22000.0,65000.0,0.06666666666666667
66,14000.0,71000.0,0.06666666666666667
67,22000.0,55000.0,0.06666666666666667
68,15000.0,71000.0,0.06666666666666667
69,27000.0,3000.0,0.06666666666666667
70,10000.0,35000.0,0.06666666666666667
71,1000.0,0.0,0.06666666666666662
72,12000.0,53000.0,0.06666666666666667
73,24000.0,67000.0,0.06666666666666667
74,7000.0,24000.0,0.06666666666666667
75,14000.0,71000.0,0.06666666666666667
76,27000.0,21000.0,0.06666666666666667
77,23000.0,75000.0,0.06666666666666667
78,23000.0,71000.0,0.06666666666666667
79,22000.0,55000.0,0.06666666666666667
80,26000.0,46000.0,0.06666666666666667
81,10000.0,72000.0,0.06666666666666667
82,24000.0,50000.0,0.06666666666666667
83,8000.0,19000.0,0.06666666666666667
84,24000.0,47000.0,0.06666666666666667
85,29000.0,70000.0,0.06666666666666667
86,18000.0,0.0,0.06666666666666667
87,12000.0,0.0,0.06666666666666667
88,26000.0,70000.0,0.06666666666666667
89,30000.0,5000.0,0.06666666666666667
90,22000.0,43000.0,0.06666666666666667
91,16000.0,73000.0,0.06666666666666667
92,21000.0,34000.0,0.06666666666666667
93,26000.0,74000.0,0.06666666666666667
94,10000.0,41000.0,0.06666666666666667
95,19000.0,51000.0,0.06666666666666667
96,21000.0,73000.0,0.06666666666666667
97,20000.0,0.0,0.06666666666666667
98,7000.0,85000.0,0.06666666666666667
99,21000.0,3000.0,0.06666666666666667
100,12000.0,80000.0,0.06666666666666667
