Method,Throughput Mean,Throughput Std,Latency Mean (ms),Latency Std,Fairness (Jain),Fairness Std
Round Robin (RR),251.73,67.21,509.25,295.11,0.7905,0.0362
Proportional Fair (PF),317.19,125.20,481.78,261.80,0.4619,0.1865
PPO,16080.00,8094.05,38430.00,26949.68,0.0333,0.0000
DQN (Ours),16820,7992.97,59630,22002.12,0.0333,0.0000
No Replay Buffer,16310,8004.62,41250,28155.06,0.0333,0.0000
No Target Network,17670,7788.52,47640,26109.97,0.0333,0.0000
Simplified Reward,18050,7787.65,63130,17700.65,0.0333,0.0000
